amp_id,species,mic_ug_per_ml,n_measurements
0,staphylococcus aureus,100.0,1
0,bacillus subtilis,100.0,1
0,pseudomonas aeruginosa,100.0,1
0,escherichia coli,100.0,1
1,staphylococcus aureus,13.0,1
2,escherichia coli,2.6149999999999998,6
2,klebsiella pneumoniae,3.1666666666666665,3
2,pseudomonas aeruginosa,5.06,3
2,staphylococcus aureus,1.77875,8
2,staphylococcus epidermidis,6.833333333333333,3
2,bacillus subtilis,2.0,2
3,escherichia coli,37.74333333333333,3
4,bacillus subtilis,4.0,1
4,escherichia coli,16.0,1
5,escherichia coli,27.333333333333332,3
5,staphylococcus aureus,24.666666666666668,3
5,pseudomonas aeruginosa,100.0,1
6,staphylococcus aureus,400.0,1
6,escherichia coli,400.0,2
7,escherichia coli,13.455,1
7,klebsiella pneumoniae,26.115002,1
7,pseudomonas aeruginosa,53.815002,1
7,staphylococcus aureus,26.115002,2
8,escherichia coli,11.51,1
8,klebsiella pneumoniae,22.345,1
8,pseudomonas aeruginosa,46.05,1
8,staphylococcus aureus,22.345,2
9,escherichia coli,16.38888888888889,9
9,staphylococcus aureus,25.142857142857142,7
9,pseudomonas aeruginosa,125.75,4
9,staphylococcus epidermidis,7.0,1
9,bacillus subtilis,8.0,2
9,klebsiella pneumoniae,48.0,2
10,staphylococcus aureus,12.5,1
10,bacillus subtilis,3.12,1
10,pseudomonas aeruginosa,6.25,1
10,escherichia coli,6.25,1
11,escherichia coli,100.0,2
11,pseudomonas aeruginosa,100.0,1
11,staphylococcus aureus,3.12,1
12,escherichia coli,6.0,1
12,bacillus subtilis,12.0,1
15,escherichia coli,12.0,1
15,bacillus subtilis,12.0,1
17,staphylococcus aureus,10.683333333333332,3
17,escherichia coli,100.0,1
17,pseudomonas aeruginosa,100.0,1
17,bacillus subtilis,1.5,2
17,staphylococcus epidermidis,8.0,1
20,staphylococcus aureus,100.0,1
20,bacillus subtilis,100.0,1
20,pseudomonas aeruginosa,100.0,1
20,escherichia coli,100.0,1
21,staphylococcus aureus,12.5,1
21,bacillus subtilis,3.12,1
21,pseudomonas aeruginosa,6.25,1
21,escherichia coli,25.0,1
22,staphylococcus aureus,100.0,1
22,bacillus subtilis,100.0,1
22,pseudomonas aeruginosa,100.0,1
22,escherichia coli,100.0,1
23,staphylococcus aureus,100.0,1
23,bacillus subtilis,60.0,1
23,pseudomonas aeruginosa,100.0,1
23,escherichia coli,100.0,1
24,staphylococcus aureus,30.0,1
24,bacillus subtilis,1.25,1
24,pseudomonas aeruginosa,7.5,1
24,escherichia coli,15.0,1
25,staphylococcus aureus,100.0,1
25,pseudomonas aeruginosa,100.0,1
25,escherichia coli,100.0,1
26,staphylococcus aureus,9.0,1
26,escherichia coli,3.5,2
26,pseudomonas aeruginosa,6.0,1
27,staphylococcus aureus,18.0,1
27,escherichia coli,4.5,1
27,pseudomonas aeruginosa,12.5,1
28,staphylococcus aureus,3.0,1
28,escherichia coli,6.0,1
28,pseudomonas aeruginosa,4.5,1
29,staphylococcus aureus,3.0,1
29,escherichia coli,12.5,1
29,pseudomonas aeruginosa,3.0,1
30,staphylococcus aureus,9.0,1
30,escherichia coli,25.0,1
30,pseudomonas aeruginosa,12.5,1
31,staphylococcus aureus,50.0,1
31,escherichia coli,37.0,1
31,pseudomonas aeruginosa,25.0,1
32,staphylococcus aureus,3.0,1
32,escherichia coli,3.0,1
32,pseudomonas aeruginosa,4.5,1
33,staphylococcus aureus,2.0,1
33,escherichia coli,6.0,1
33,pseudomonas aeruginosa,2.0,1
34,staphylococcus aureus,9.0,1
