id,token,type,frequency
0,[PAD],special,0
1,[CLS],special,0
2,[SEP],special,0
3,[MASK],special,0
4,[UNK],special,0
5,%,topology,1077542
6,(,topology,524987
7,),topology,524987
8,.,topology,689989
9,0,topology,128060
10,1,topology,637412
11,2,topology,464252
12,3,topology,336750
13,4,topology,258452
14,5,topology,204606
15,6,topology,174132
16,7,topology,157032
17,8,topology,143444
18,9,topology,134336
19,C,chemistry,630151
20,N,chemistry,417522
21,=O,chemistry,397181
22,[C@@H],chemistry,195243
23,[C@H],chemistry,175032
24,CC,chemistry,81637
25,c,chemistry,81083
26,CCCCN,chemistry,49229
27,O,chemistry,42072
28,NC,chemistry,34581
29,ccccc,chemistry,34475
30,CCCN=C,chemistry,28798
31,CCC,chemistry,23583
32,[nH],chemistry,22458
33,CCCN,chemistry,14315
34,CO,chemistry,11004
35,ccc,chemistry,8512
36,cc,chemistry,8239
37,cnc,chemistry,6843
38,CCN=C,chemistry,4976
39,CSSC,chemistry,4426
40,=N,chemistry,4111
41,CN,chemistry,3526
42,CNC,chemistry,3455
43,CS,chemistry,3291
44,S,chemistry,2645
45,NCC,chemistry,1207
46,CCN,chemistry,880
47,CCCCCCCC,chemistry,538
48,CCCCC,chemistry,443
49,F,chemistry,427
50,NCCCC,chemistry,403
51,CCCC,chemistry,388
52,C=,chemistry,302
53,Cc,chemistry,250
54,CCCCCCCCCCCCCCCC,chemistry,245
55,cccc,chemistry,242
56,CCCCCCCCCCCC,chemistry,211
57,CCCCCC,chemistry,180
58,=NCCC,chemistry,173
59,cn,chemistry,166
60,CCCCCCCCCCCCCC,chemistry,166
61,N=C,chemistry,160
62,O=C,chemistry,89
63,OC,chemistry,88
64,CCCCCCCCCCCCCCCCCC,chemistry,58
65,NCCC,chemistry,53
66,CC=,chemistry,43
67,CCS,chemistry,40
68,COCCOCCNC,chemistry,31
69,Cl,chemistry,25
70,NN=C,chemistry,24
71,=,chemistry,21
72,/,chemistry,20
73,n,chemistry,16
74,[C@@],chemistry,14
75,C#CC,chemistry,14
76,CCNC,chemistry,14
77,CCCNN,chemistry,12
78,C=O,chemistry,10
79,[N+],chemistry,8
80,[O-],chemistry,8
81,s,chemistry,8
82,I,chemistry,8
83,Br,chemistry,7
84,[C@],chemistry,7
85,o,chemistry,6
86,-,chemistry,5
87,\,chemistry,2
88,[SH],chemistry,1
89,#,chemistry,1
