id,token,type,frequency
0,[PAD],special,0
1,[CLS],special,0
2,[SEP],special,0
3,[MASK],special,0
4,[UNK],special,0
5,%(100),topology,292
6,%(101),topology,278
7,%(102),topology,264
8,%(103),topology,248
9,%(104),topology,232
10,%(105),topology,218
11,%(106),topology,208
12,%(107),topology,196
13,%(108),topology,182
14,%(109),topology,176
15,%(110),topology,168
16,%(111),topology,178
17,%(112),topology,164
18,%(113),topology,162
19,%(114),topology,136
20,%(115),topology,118
21,%(116),topology,108
22,%(117),topology,106
23,%(118),topology,134
24,%(119),topology,98
25,%(120),topology,88
26,%(121),topology,80
27,%(122),topology,76
28,%(123),topology,68
29,%(124),topology,58
30,%(125),topology,48
31,%(126),topology,44
32,%(127),topology,44
33,%(128),topology,42
34,%(129),topology,36
35,%(130),topology,34
36,%(131),topology,34
37,%(132),topology,30
38,%(133),topology,28
39,%(134),topology,18
40,%(135),topology,14
41,%(136),topology,10
42,%(137),topology,8
43,%(138),topology,6
44,%(139),topology,4
45,%(140),topology,4
46,%(141),topology,4
47,%(142),topology,4
48,%(143),topology,4
49,%(144),topology,4
50,%(145),topology,4
51,%(146),topology,84
52,%10,topology,43044
53,%11,topology,42964
54,%12,topology,41870
55,%13,topology,40326
56,%14,topology,40624
57,%15,topology,39494
58,%16,topology,38938
59,%17,topology,37490
60,%18,topology,36574
61,%19,topology,35832
62,%20,topology,35036
63,%21,topology,33718
64,%22,topology,33176
65,%23,topology,31916
66,%24,topology,30816
67,%25,topology,29478
68,%26,topology,28640
69,%27,topology,27206
70,%28,topology,25566
71,%29,topology,24170
72,%30,topology,22810
73,%31,topology,21704
74,%32,topology,20658
75,%33,topology,19860
76,%34,topology,19236
77,%35,topology,18400
78,%36,topology,17386
79,%37,topology,16764
80,%38,topology,15942
81,%39,topology,15226
82,%40,topology,14158
83,%41,topology,13392
84,%42,topology,12674
85,%43,topology,11770
86,%44,topology,11056
87,%45,topology,10448
88,%46,topology,9846
89,%47,topology,9330
90,%48,topology,8804
91,%49,topology,8758
92,%50,topology,8024
93,%51,topology,7446
94,%52,topology,6868
95,%53,topology,6404
96,%54,topology,6080
97,%55,topology,5590
98,%56,topology,5248
99,%57,topology,5344
100,%58,topology,4584
101,%59,topology,4188
102,%60,topology,3930
103,%61,topology,3756
104,%62,topology,3566
105,%63,topology,3324
106,%64,topology,3196
107,%65,topology,3090
108,%66,topology,2924
109,%67,topology,2802
110,%68,topology,2684
111,%69,topology,2632
112,%70,topology,2462
113,%71,topology,2296
114,%72,topology,2240
115,%73,topology,2084
116,%74,topology,2016
117,%75,topology,1900
118,%76,topology,1694
119,%77,topology,1556
120,%78,topology,1486
121,%79,topology,1350
122,%80,topology,1214
123,%81,topology,1172
124,%82,topology,1086
125,%83,topology,1016
126,%84,topology,926
127,%85,topology,866
128,%86,topology,834
129,%87,topology,786
130,%88,topology,756
131,%89,topology,672
132,%90,topology,626
133,%91,topology,586
134,%92,topology,566
135,%93,topology,498
136,%94,topology,464
137,%95,topology,434
138,%96,topology,408
139,%97,topology,394
140,%98,topology,354
141,%99,topology,320
142,(,topology,523016
143,),topology,523016
144,.,topology,687405
145,1,topology,69936
146,2,topology,41416
147,3,topology,50264
148,4,topology,41998
149,5,topology,44892
150,6,topology,43380
151,7,topology,44114
152,8,topology,46750
153,9,topology,43320
154,%,topology,0
155,0,topology,0
156,C,chemistry,627676
157,N,chemistry,416175
158,=O,chemistry,395537
159,[C@@H],chemistry,194634
160,[C@H],chemistry,174228
161,CC,chemistry,81434
162,c,chemistry,80668
163,CCCCN,chemistry,48986
164,O,chemistry,41917
165,NC,chemistry,34301
166,ccccc,chemistry,34274
167,CCCN=C,chemistry,28759
168,CCC,chemistry,23529
169,[nH],chemistry,22339
170,CCCN,chemistry,14196
171,CO,chemistry,10983
172,ccc,chemistry,8496
173,cc,chemistry,8226
174,cnc,chemistry,6796
175,CCN=C,chemistry,4974
176,CSSC,chemistry,4404
177,=N,chemistry,4094
178,CN,chemistry,3469
179,CNC,chemistry,3434
180,CS,chemistry,3275
181,S,chemistry,2643
182,NCC,chemistry,1204
183,CCN,chemistry,875
184,CCCCCCCC,chemistry,531
185,CCCCC,chemistry,443
186,F,chemistry,426
187,NCCCC,chemistry,403
188,CCCC,chemistry,379
189,Cc,chemistry,249
190,CCCCCCCCCCCCCCCC,chemistry,245
191,cccc,chemistry,242
192,CCCCCCCCCCCC,chemistry,211
193,CCCCCC,chemistry,177
194,=NCCC,chemistry,173
195,CCCCCCCCCCCCCC,chemistry,165
196,cn,chemistry,160
197,N=C,chemistry,149
198,O=C,chemistry,87
199,OC,chemistry,73
200,CCCCCCCCCCCCCCCCCC,chemistry,58
201,NCCC,chemistry,50
202,COCCOCCNC,chemistry,31
203,C=,chemistry,27
204,Cl,chemistry,25
205,NN=C,chemistry,24
206,CC=,chemistry,17
207,n,chemistry,15
208,[C@@],chemistry,14
209,C#CC,chemistry,14
210,CCNC,chemistry,14
211,CCCNN,chemistry,12
212,/,chemistry,12
213,CCS,chemistry,11
214,[N+],chemistry,8
215,[O-],chemistry,8
216,s,chemistry,8
217,I,chemistry,8
218,Br,chemistry,7
219,[C@],chemistry,7
220,o,chemistry,6
221,-,chemistry,5
222,=,chemistry,5
223,\,chemistry,2
224,[SH],chemistry,1
225,#,chemistry,1
